H	pval	VarFGr	varH	L	dataset	gwas	contrasts	nsnp
0.00971483418069925	0	1076.55156181129	1.64965189900593e-08	110816	HGDP1KG	ALL	nfe-afr	pruneall
0.00242759635254469	0	269.014642573265	2.40307145606709e-09	110816	HGDP1KG	ALL	nfe-amr	pruneall
0.00756086714776663	0	837.859214596502	1.19096051568467e-08	110816	HGDP1KG	ALL	sas-afr	pruneall
0.000446292639636766	0	49.456020482612	7.58975552868332e-11	110816	HGDP1KG	ALL	sas-amr	pruneall
0.007374770772531	0	817.236902400421	1.09919633534718e-08	110816	HGDP1KG	ALL	afr-amr	pruneall
1.20297468128772e-05	2.99053191246021e-26	1.35479340004282	8.94322401552229e-14	112621	HGDP1KG	WBS	eurasia-lat	pruneall
1.1542986182251e-05	2.61885472816976e-20	1.29997428372799	8.45778681725595e-14	112621	HGDP1KG	WBS	eurasia-long	pruneall
1.30480968204351e-05	1.91294323533182e-82	1.77977780794027	8.86718023682911e-14	136402	HGDP1KG	WBS	eur-lat	pruneall
9.55444047564594e-06	5.54864674216507e-19	1.30323842318593	6.3484402718002e-14	136402	HGDP1KG	WBS	eur-long	pruneall
1.24006653768747e-05	3.30134826828206e-74	1.7319059643013	8.30346558594817e-14	139663	HGDP1KG	WBS	sdi-eur	pruneall
1.19923877381902e-05	7.61408875569922e-21	1.30932010361168	9.2980765320376e-14	109180	HGDP1KG	WBS	eas-nfe	pruneall
1.11131537754642e-05	8.09840606522338e-12	1.21332598398284	8.41266495259199e-14	109180	HGDP1KG	WBS	eas-sas	pruneall
1.12052613777163e-05	2.11688865982693e-13	1.2233822244878	7.96933763711893e-14	109180	HGDP1KG	WBS	eas-afr	pruneall
1.12476873150541e-05	4.76354157987511e-13	1.22801425723087	8.56282254080687e-14	109180	HGDP1KG	WBS	eas-amr	pruneall
1.33787002068459e-05	9.86653044586823e-38	1.46067668286222	1.08913685256496e-13	109180	HGDP1KG	WBS	nfe-sas	pruneall
1.22500927343105e-05	1.33488378477478e-25	1.337456146207	8.84492726280504e-14	109180	HGDP1KG	WBS	nfe-afr	pruneall
1.2194554281844e-05	5.28165270283136e-23	1.3313924986728	9.58076403578671e-14	109180	HGDP1KG	WBS	nfe-amr	pruneall
1.16767107569153e-05	1.34383157895071e-18	1.27485472216688	8.32770475007069e-14	109180	HGDP1KG	WBS	sas-afr	pruneall
1.13574537390083e-05	2.38522048892871e-14	1.23999847494651	8.5043801755389e-14	109180	HGDP1KG	WBS	sas-amr	pruneall
1.20226296852964e-05	8.4284998920752e-23	1.31262189723133	8.60901632116922e-14	109180	HGDP1KG	WBS	afr-amr	pruneall
