H	pval	VarFGr	varH	dataset	gwas	contrasts	nsnp
0.000673148635882905	0.0225062950056863	1.14571043537659	1.83848211007217e-09	InUKBB	e5	England-NorthernIreland	pruneall
0.000730366459560485	0.00298689439175743	1.24309614513295	2.71187920445374e-09	InUKBB	e5	England-RepublicOfIrelend	pruneall
0.000717620242804152	0.00224649466786577	1.22140186727022	2.10698672581274e-09	InUKBB	e5	England-Scotland	pruneall
0.000638479575968517	0.100278974793493	1.08670310532947	1.60512754835819e-09	InUKBB	e5	England-Wales	pruneall
0.000605139797124336	0.302043461865697	1.02995823428794	1.19709577582124e-09	InUKBB	e5	NorthernIreland-RepublicOfIrelend	pruneall
0.000590999355315326	0.457202210500468	1.00589096165516	1.25008879136821e-09	InUKBB	e5	NorthernIreland-Scotland	pruneall
0.000634499624782174	0.104884274544536	1.07992916067081	1.42232086816008e-09	InUKBB	e5	NorthernIreland-Wales	pruneall
0.000642152057755668	0.0716528925973676	1.09295373183717	1.4097542821716e-09	InUKBB	e5	RepublicOfIrelend-Scotland	pruneall
0.000672628544056317	0.0217181708582493	1.14482523023546	1.78950228018699e-09	InUKBB	e5	RepublicOfIrelend-Wales	pruneall
0.000654723981188019	0.0411169282160878	1.11435135949548	1.50971153034892e-09	InUKBB	e5	Scotland-Wales	pruneall
0.000664799768993093	0.0275316818956515	1.13150052183134	1.63630384227943e-09	InUKBB	e10	England-NorthernIreland	pruneall
0.000714296537876961	0.0025033014638829	1.21574486491487	2.05073786704323e-09	InUKBB	e10	England-RepublicOfIrelend	pruneall
0.000735735956689833	0.00169521948535177	1.25223512063476	2.57013361825223e-09	InUKBB	e10	England-Scotland	pruneall
0.000641571918946578	0.0741148761591227	1.09196632570744	1.41429589114658e-09	InUKBB	e10	England-Wales	pruneall
0.000610565827178424	0.256122048897093	1.03919342979097	1.27131760112176e-09	InUKBB	e10	NorthernIreland-RepublicOfIrelend	pruneall
0.000597851163191055	0.384233556923785	1.01755285527964	1.30933993057183e-09	InUKBB	e10	NorthernIreland-Scotland	pruneall
0.000643639846433706	0.0752139885055883	1.09548597348948	1.54047763020176e-09	InUKBB	e10	NorthernIreland-Wales	pruneall
0.000646696832897385	0.0589193846899719	1.10068901648151	1.44736494370652e-09	InUKBB	e10	RepublicOfIrelend-Scotland	pruneall
0.000675226798220035	0.0138935076025297	1.14924750304552	1.60060093845657e-09	InUKBB	e10	RepublicOfIrelend-Wales	pruneall
0.000648472735899107	0.0553160345739094	1.10371163361661	1.47513317355709e-09	InUKBB	e10	Scotland-Wales	pruneall
0.000677785283046403	0.0177765952200715	1.15360208776585	1.85719914024386e-09	InUKBB	e50	England-NorthernIreland	pruneall
0.000727209301736169	0.00509114644310942	1.23772260878097	2.9689065576504e-09	InUKBB	e50	England-RepublicOfIrelend	pruneall
0.00072176532478624	0.00239329392222905	1.22845686735485	2.27535436705389e-09	InUKBB	e50	England-Scotland	pruneall
0.000646434936371774	0.0666912856436359	1.10024326413732	1.55764566616485e-09	InUKBB	e50	England-Wales	pruneall
0.000614075992053508	0.236860577422257	1.04516779015297	1.40735147114143e-09	InUKBB	e50	NorthernIreland-RepublicOfIrelend	pruneall
0.000606699724938329	0.305743983574986	1.03261325797761	1.47385857873932e-09	InUKBB	e50	NorthernIreland-Scotland	pruneall
0.000650286342906071	0.0530629249660457	1.10679842361036	1.52433114101068e-09	InUKBB	e50	NorthernIreland-Wales	pruneall
0.000641829880396392	0.0738179055381907	1.0924053804878	1.42356909479029e-09	InUKBB	e50	RepublicOfIrelend-Scotland	pruneall
0.0006773355569906	0.019548180648845	1.1528366463644	1.90866977152012e-09	InUKBB	e50	RepublicOfIrelend-Wales	pruneall
0.000646687414578542	0.0738198782933307	1.1006729863425	1.68801181604526e-09	InUKBB	e50	Scotland-Wales	pruneall
0.000665009199677584	0.0290941064212733	1.13185697641895	1.68727268549125e-09	InUKBB	e200	England-NorthernIreland	pruneall
0.000800364705260357	0.000872021525297604	1.36223435069656	4.63615667853279e-09	InUKBB	e200	England-RepublicOfIrelend	pruneall
0.000736871769359353	0.00359223540281457	1.25416829313247	3.10007088974533e-09	InUKBB	e200	England-Scotland	pruneall
0.000627084649806333	0.13165908818619	1.06730874705781	1.27143971736979e-09	InUKBB	e200	England-Wales	pruneall
0.000601931764400047	0.349392296274623	1.02449810798954	1.44953614402655e-09	InUKBB	e200	NorthernIreland-RepublicOfIrelend	pruneall
0.000587908111513127	0.491869665158817	1.00062961209089	1.21031418067583e-09	InUKBB	e200	NorthernIreland-Scotland	pruneall
0.000627916196419883	0.134172044512192	1.06872405354633	1.35316336953007e-09	InUKBB	e200	NorthernIreland-Wales	pruneall
0.000643631044987453	0.0782692561847809	1.09547099327821	1.58645397104152e-09	InUKBB	e200	RepublicOfIrelend-Scotland	pruneall
0.000717072463531686	0.00906645251309423	1.22046953762624	3.02101120474852e-09	InUKBB	e200	RepublicOfIrelend-Wales	pruneall
0.000647823433156052	0.0549208826959195	1.10260650929658	1.43763726771578e-09	InUKBB	e200	Scotland-Wales	pruneall
0.000699161605098851	0.0069124033804449	1.18997549701619	2.06845361786664e-09	InUKBB	ALL	England-NorthernIreland	pruneall
0.000743979277082306	0.00308802250175229	1.26625533147078	3.27812185465142e-09	InUKBB	ALL	England-RepublicOfIrelend	pruneall
0.000724601590886184	0.00553539825778871	1.23327444179645	2.92527058791361e-09	InUKBB	ALL	England-Scotland	pruneall
0.000643326997091377	0.0819331923677406	1.09494479892069	1.62541496983368e-09	InUKBB	ALL	England-Wales	pruneall
0.000604966884285533	0.312166678226384	1.02965575277044	1.31636424297591e-09	InUKBB	ALL	NorthernIreland-RepublicOfIrelend	pruneall
0.00059225932570735	0.442730958926779	1.00802744362881	1.23403405005741e-09	InUKBB	ALL	NorthernIreland-Scotland	pruneall
0.000648492555744247	0.0899711787721954	1.10373659781309	2.08936790238002e-09	InUKBB	ALL	NorthernIreland-Wales	pruneall
0.000667578994851	0.0494608144393424	1.13622178392246	2.37286244462315e-09	InUKBB	ALL	RepublicOfIrelend-Scotland	pruneall
0.000667282793465992	0.0297142507538039	1.1357176481295	1.80493409146892e-09	InUKBB	ALL	RepublicOfIrelend-Wales	pruneall
0.000649746228355302	0.0830985287518477	1.10587035298134	2.04085550772006e-09	InUKBB	ALL	Scotland-Wales	pruneall
0.00065192055698243	0.0596075696701403	1.10957150212032	1.7255184388782e-09	InUKBB	WBS	England-NorthernIreland	pruneall
0.000677455793492698	0.0227642334925715	1.15303258097153	2.03710134689354e-09	InUKBB	WBS	England-RepublicOfIrelend	pruneall
0.000700550881796136	0.00535395634799186	1.19234051741562	1.97271948989727e-09	InUKBB	WBS	England-Scotland	pruneall
0.000640544629140983	0.0807104452016552	1.09020962557294	1.45127298439956e-09	InUKBB	WBS	England-Wales	pruneall
0.000602551695247522	0.330375525157108	1.02554549391032	1.22371772626467e-09	InUKBB	WBS	NorthernIreland-RepublicOfIrelend	pruneall
0.000592745098598814	0.435516111851335	1.00885462558659	1.16700999230978e-09	InUKBB	WBS	NorthernIreland-Scotland	pruneall
0.000633300238615372	0.118142809573919	1.07787964273785	1.51525053765128e-09	InUKBB	WBS	NorthernIreland-Wales	pruneall
0.000622594237055291	0.174482017907508	1.05965798350973	1.42816797298913e-09	InUKBB	WBS	RepublicOfIrelend-Scotland	pruneall
0.000654448780948202	0.0790124656754328	1.11387454983557	2.26917602067656e-09	InUKBB	WBS	RepublicOfIrelend-Wales	pruneall
0.000651566368495442	0.124038058840324	1.10896867184091	3.10556373857626e-09	InUKBB	WBS	Scotland-Wales	pruneall
