#FID	IID	POP
1009265	1009265	Scotland
1009282	1009282	England
1009313	1009313	England
1009324	1009324	England
1009338	1009338	England
1009346	1009346	England
1009375	1009375	England
1009397	1009397	Scotland
1009456	1009456	England
1009517	1009517	England
1009558	1009558	England
1009563	1009563	England
1009574	1009574	RepublicOfIrelend
1009605	1009605	England
1009649	1009649	England
1009714	1009714	England
1009741	1009741	England
1009759	1009759	England
1009795	1009795	England
1009827	1009827	England
1009839	1009839	England
1009840	1009840	England
1009885	1009885	Scotland
1009910	1009910	England
1009926	1009926	England
1009978	1009978	England
1010049	1010049	England
1010070	1010070	England
1010084	1010084	England
1010092	1010092	Wales
1010103	1010103	England
1010135	1010135	England
1010156	1010156	England
1010189	1010189	Scotland
1010206	1010206	England
1010326	1010326	England
1010361	1010361	England
1010438	1010438	England
1010446	1010446	England
1010481	1010481	England
1010501	1010501	England
1010525	1010525	England
1010548	1010548	England
1010554	1010554	England
1010576	1010576	England
1010593	1010593	England
1010630	1010630	England
1010686	1010686	England
1010704	1010704	England
1010720	1010720	England
1010798	1010798	England
1010815	1010815	England
1010829	1010829	England
1010831	1010831	England
1010864	1010864	England
1010873	1010873	England
1010888	1010888	England
1010922	1010922	England
1010974	1010974	England
1011004	1011004	England
1011020	1011020	England
1011082	1011082	England
1011098	1011098	England
1011126	1011126	Scotland
1011161	1011161	England
1011199	1011199	England
1011292	1011292	England
1011354	1011354	England
1011376	1011376	England
1011387	1011387	England
1011393	1011393	England
1011409	1011409	England
1011422	1011422	England
1011445	1011445	England
1011458	1011458	England
1011538	1011538	NorthernIreland
1011546	1011546	Scotland
1011569	1011569	Wales
1011612	1011612	England
1011639	1011639	England
1011685	1011685	England
1011729	1011729	Wales
1011731	1011731	England
1011764	1011764	England
1011823	1011823	England
1011830	1011830	England
1011886	1011886	England
1011903	1011903	England
1011928	1011928	Wales
1011989	1011989	England
1011990	1011990	Scotland
1012026	1012026	England
1012061	1012061	England
1012078	1012078	England
1012083	1012083	Wales
1012120	1012120	England
1012137	1012137	England
1012179	1012179	England
1012232	1012232	England
1012254	1012254	England
1012260	1012260	England
1012276	1012276	England
1012287	1012287	England
1012318	1012318	England
1012384	1012384	England
1012423	1012423	England
1012430	1012430	England
1012459	1012459	England
1012486	1012486	England
1012495	1012495	England
1012540	1012540	England
1012553	1012553	Scotland
1012594	1012594	England
1012652	1012652	England
1012669	1012669	England
1012735	1012735	England
1012790	1012790	Wales
1012817	1012817	England
1012836	1012836	England
1012858	1012858	Wales
1012931	1012931	England
1012947	1012947	Scotland
1012996	1012996	England
1013023	1013023	England
1013041	1013041	England
1013059	1013059	England
1013062	1013062	England
1013077	1013077	Scotland
1013095	1013095	England
1013100	1013100	England
1013138	1013138	England
1013152	1013152	England
1013197	1013197	England
1013229	1013229	England
1013231	1013231	Wales
1013247	1013247	England
1013264	1013264	England
1013288	1013288	England
1013309	1013309	England
1013336	1013336	England
1013358	1013358	England
1013363	1013363	England
1013380	1013380	England
1013426	1013426	England
1013461	1013461	England
1013511	1013511	England
1013643	1013643	England
1013651	1013651	Scotland
1013665	1013665	England
1013682	1013682	Wales
1013712	1013712	Wales
1013753	1013753	Wales
1013821	1013821	Wales
1013833	1013833	England
1013849	1013849	England
1013932	1013932	England
1013954	1013954	England
1013960	1013960	England
1013976	1013976	England
1014028	1014028	England
1014035	1014035	England
1014044	1014044	England
1014067	1014067	England
1014072	1014072	England
1014089	1014089	England
1014149	1014149	England
1014242	1014242	England
1014261	1014261	England
1014278	1014278	England
1014299	1014299	England
1014306	1014306	England
1014327	1014327	England
1014340	1014340	RepublicOfIrelend
1014353	1014353	England
1014368	1014368	England
1014402	1014402	England
1014464	1014464	England
1014496	1014496	England
1014508	1014508	England
1014530	1014530	England
1014559	1014559	England
1014577	1014577	England
1014625	1014625	England
1014660	1014660	England
1014676	1014676	England
1014687	1014687	England
1014717	1014717	England
1014791	1014791	England
1014869	1014869	England
1014875	1014875	England
1014904	1014904	England
1014916	1014916	England
1014937	1014937	England
1014965	1014965	England
1014998	1014998	England
1015022	1015022	England
1015058	1015058	England
1015091	1015091	England
1015211	1015211	England
1015228	1015228	England
1015244	1015244	England
1015290	1015290	England
1015314	1015314	England
1015323	1015323	RepublicOfIrelend
1015330	1015330	England
1015416	1015416	England
1015482	1015482	England
1015550	1015550	England
1015573	1015573	England
1015596	1015596	England
1015655	1015655	England
1015678	1015678	England
1015713	1015713	Scotland
1015738	1015738	England
1015801	1015801	England
1015854	1015854	England
1015860	1015860	England
1015893	1015893	England
1015918	1015918	England
1015984	1015984	England
1016024	1016024	England
1016141	1016141	England
1016177	1016177	England
1016195	1016195	England
1016258	1016258	England
1016274	1016274	England
1016302	1016302	England
1016329	1016329	England
1016373	1016373	England
1016421	1016421	Wales
1016457	1016457	Scotland
1016466	1016466	England
1016484	1016484	England
1016520	1016520	Scotland
1016537	1016537	Scotland
1016543	1016543	England
1016644	1016644	England
1016656	1016656	England
1016672	1016672	England
1016689	1016689	England
1016826	1016826	England
1016855	1016855	England
1016861	1016861	England
1016899	1016899	England
1016906	1016906	England
1016940	1016940	England
1016968	1016968	England
1016985	1016985	England
1016994	1016994	England
1017015	1017015	Scotland
1017047	1017047	England
1017064	1017064	England
1017096	1017096	England
1017119	1017119	England
1017187	1017187	England
1017216	1017216	England
1017237	1017237	England
1017265	1017265	England
1017282	1017282	England
1017313	1017313	England
1017403	1017403	England
1017472	1017472	Scotland
1017490	1017490	England
1017580	1017580	England
1017621	1017621	England
1017666	1017666	Scotland
1017670	1017670	England
1017708	1017708	England
1017741	1017741	England
1017762	1017762	England
1017795	1017795	Scotland
1017806	1017806	England
1017812	1017812	England
1017827	1017827	England
1017839	1017839	England
1017853	1017853	England
1017894	1017894	England
1017978	1017978	England
1018054	1018054	England
1018087	1018087	England
1018115	1018115	England
1018131	1018131	England
1018224	1018224	England
1018238	1018238	England
1018297	1018297	Scotland
1018343	1018343	England
1018365	1018365	England
1018427	1018427	England
1018468	1018468	England
1018494	1018494	England
1018505	1018505	Scotland
1018570	1018570	England
1018609	1018609	England
1018707	1018707	England
1018755	1018755	England
1018778	1018778	England
1018811	1018811	England
1018828	1018828	England
1018923	1018923	England
1019068	1019068	England
1019071	1019071	Scotland
1019085	1019085	England
1019117	1019117	England
1019158	1019158	England
1019163	1019163	England
1019174	1019174	England
1019214	1019214	Wales
1019295	1019295	England
1019303	1019303	Scotland
1019328	1019328	England
1019390	1019390	England
1019425	1019425	England
1019476	1019476	England
1019493	1019493	England
1019599	1019599	England
1019647	1019647	England
1019673	1019673	England
1019721	1019721	England
1019749	1019749	England
1019766	1019766	England
1019816	1019816	England
1019837	1019837	England
1019851	1019851	England
1019865	1019865	England
1019946	1019946	England
1019975	1019975	England
1020003	1020003	England
1020072	1020072	England
1020105	1020105	England
1020149	1020149	England
1020192	1020192	England
1020207	1020207	England
1020210	1020210	England
1020283	1020283	England
1020312	1020312	England
1020327	1020327	England
1020394	1020394	England
1020473	1020473	England
1020541	1020541	England
1020586	1020586	England
1020601	1020601	England
1020619	1020619	England
1020660	1020660	Scotland
1020687	1020687	England
1020693	1020693	Scotland
1020745	1020745	England
1020763	1020763	England
1020780	1020780	England
1020813	1020813	England
1020852	1020852	England
1020869	1020869	England
1020943	1020943	England
1020951	1020951	Scotland
1020965	1020965	England
1020982	1020982	England
1021009	1021009	England
1021022	1021022	England
1021045	1021045	England
1021063	1021063	England
1021091	1021091	Wales
1021112	1021112	England
1021127	1021127	Scotland
1021139	1021139	England
1021168	1021168	England
1021194	1021194	England
1021244	1021244	NorthernIreland
1021267	1021267	England
1021272	1021272	England
1021289	1021289	Scotland
1021323	1021323	England
1021330	1021330	England
1021362	1021362	England
1021395	1021395	England
1021404	1021404	Scotland
1021443	1021443	England
1021451	1021451	England
1021502	1021502	England
1021515	1021515	England
1021531	1021531	Scotland
1021547	1021547	England
1021550	1021550	Wales
1021564	1021564	England
1021573	1021573	England
1021588	1021588	Scotland
1021634	1021634	England
1021642	1021642	Scotland
1021700	1021700	England
1021746	1021746	England
1021775	1021775	England
1021781	1021781	England
1021825	1021825	England
1021876	1021876	England
1021905	1021905	England
1021918	1021918	England
1021949	1021949	England
1021957	1021957	England
1021966	1021966	England
1021984	1021984	England
1022012	1022012	England
1022039	1022039	England
1022071	1022071	England
1022117	1022117	England
1022136	1022136	England
1022158	1022158	RepublicOfIrelend
1022180	1022180	England
1022208	1022208	England
1022259	1022259	England
1022286	1022286	England
1022295	1022295	England
1022303	1022303	England
1022311	1022311	England
1022335	1022335	England
1022344	1022344	England
1022356	1022356	England
1022372	1022372	England
1022432	1022432	Scotland
1022454	1022454	Wales
1022493	1022493	Scotland
1022507	1022507	England
1022599	1022599	England
1022615	1022615	England
1022631	1022631	England
1022647	1022647	England
1022650	1022650	England
1022718	1022718	England
1022721	1022721	Wales
1022757	1022757	England
1022770	1022770	England
1022784	1022784	England
1022804	1022804	England
1022837	1022837	England
1022879	1022879	England
1022913	1022913	England
1022975	1022975	England
1022981	1022981	England
1023001	1023001	England
1023048	1023048	England
1023129	1023129	Scotland
1023131	1023131	England
1023150	1023150	England
1023164	1023164	England
1023188	1023188	England
1023196	1023196	England
1023246	1023246	England
1023252	1023252	England
1023343	1023343	Wales
1023379	1023379	England
1023406	1023406	RepublicOfIrelend
1023412	1023412	England
1023439	1023439	England
1023471	1023471	England
1023485	1023485	England
1023505	1023505	England
1023518	1023518	England
1023549	1023549	Scotland
1023584	1023584	England
1023617	1023617	Wales
1023680	1023680	England
1023691	1023691	England
1023707	1023707	Scotland
1023726	1023726	England
1023734	1023734	RepublicOfIrelend
1023783	1023783	England
1023828	1023828	England
1023856	1023856	England
1023867	1023867	England
1023914	1023914	England
1023930	1023930	England
1023962	1023962	England
1024021	1024021	England
1024049	1024049	England
1024057	1024057	England
1024128	1024128	England
1024135	1024135	Wales
1024189	1024189	England
1024271	1024271	Wales
1024310	1024310	England
1024361	1024361	England
1024383	1024383	England
1024413	1024413	England
1024469	1024469	England
1024560	1024560	Scotland
1024623	1024623	England
1024659	1024659	England
1024720	1024720	England
1024765	1024765	England
1024802	1024802	England
1024815	1024815	England
1024831	1024831	England
1024847	1024847	England
1024850	1024850	England
1024864	1024864	England
1024873	1024873	England
1024917	1024917	England
1024922	1024922	England
1025043	1025043	England
1025051	1025051	Scotland
1025110	1025110	England
1025142	1025142	England
1025161	1025161	England
1025178	1025178	England
1025183	1025183	England
1025199	1025199	England
1025221	1025221	England
1025257	1025257	England
1025393	1025393	Wales
1025409	1025409	Scotland
1025463	1025463	England
1025491	1025491	Scotland
1025500	1025500	England
1025513	1025513	England
1025538	1025538	England
1025546	1025546	England
1025597	1025597	Wales
1025671	1025671	England
1025715	1025715	England
1025747	1025747	England
1025808	1025808	England
1025830	1025830	England
1025862	1025862	England
1025895	1025895	Wales
1025935	1025935	England
1025967	1025967	England
1025990	1025990	England
1026029	1026029	England
1026047	1026047	England
1026050	1026050	England
1026073	1026073	England
1026096	1026096	England
1026101	1026101	England
1026204	1026204	England
1026216	1026216	England
1026220	1026220	England
1026282	1026282	Scotland
1026369	1026369	England
1026411	1026411	Scotland
1026444	1026444	England
1026467	1026467	England
1026472	1026472	England
1026517	1026517	England
1026536	1026536	England
1026574	1026574	England
1026714	1026714	England
1026759	1026759	England
1026762	1026762	England
1026786	1026786	Scotland
1026806	1026806	England
1026871	1026871	England
1026885	1026885	England
1026907	1026907	England
1026942	1026942	England
1026961	1026961	England
1027013	1027013	England
1027024	1027024	England
1027038	1027038	England
1027046	1027046	England
1027081	1027081	England
1027097	1027097	Scotland
1027114	1027114	Scotland
1027123	1027123	England
1027130	1027130	England
1027186	1027186	England
1027195	1027195	Scotland
1027209	1027209	England
1027217	1027217	England
1027222	1027222	England
1027274	1027274	England
1027291	1027291	Wales
1027302	1027302	England
1027329	1027329	Wales
1027347	1027347	Scotland
1027350	1027350	England
1027449	1027449	Scotland
1027457	1027457	England
1027504	1027504	England
1027516	1027516	England
1027551	1027551	England
1027565	1027565	England
1027628	1027628	England
1027644	1027644	England
1027667	1027667	England
1027672	1027672	England
1027776	1027776	England
1027787	1027787	England
1027861	1027861	England
1027953	1027953	Wales
1028008	1028008	England
1028041	1028041	England
1028059	1028059	England
1028062	1028062	England
1028086	1028086	England
1028124	1028124	England
1028146	1028146	England
1028169	1028169	England
1028175	1028175	England
1028181	1028181	England
