#FID	IID	POP
3629518	3629518	Europe
4124711	4124711	Europe
3334502	3334502	Europe
2979527	2979527	Europe
5065212	5065212	Europe
5416865	5416865	Europe
5240779	5240779	Europe
3918131	3918131	Europe
3276992	3276992	Europe
4877980	4877980	Europe
5439493	5439493	Europe
1156324	1156324	Europe
1431306	1431306	Europe
2364326	2364326	Europe
6016509	6016509	Europe
2341763	2341763	Europe
3656114	3656114	Europe
4126502	4126502	Europe
3906486	3906486	Europe
4973299	4973299	Europe
3641993	3641993	Europe
4305651	4305651	Europe
3092751	3092751	Europe
4933280	4933280	Europe
3583581	3583581	Europe
5698941	5698941	Europe
5293921	5293921	Europe
4102313	4102313	Europe
4903103	4903103	Europe
4897183	4897183	Europe
4069030	4069030	Europe
2991421	2991421	Europe
4514250	4514250	Europe
1204145	1204145	Europe
1322769	1322769	Europe
2913241	2913241	Europe
4729267	4729267	Europe
2006709	2006709	Europe
1550872	1550872	Europe
3092958	3092958	Europe
3013319	3013319	Europe
5198062	5198062	Europe
3165110	3165110	Europe
5945328	5945328	Europe
2286209	2286209	Europe
5634772	5634772	Europe
1527181	1527181	Europe
5767225	5767225	Europe
3222182	3222182	Europe
1313881	1313881	Europe
3473258	3473258	Europe
2710917	2710917	Europe
3905778	3905778	Europe
3722727	3722727	Europe
1901082	1901082	Europe
1012034	1012034	Europe
1531980	1531980	Europe
4444337	4444337	Europe
1349388	1349388	Europe
1152820	1152820	Europe
3895498	3895498	Europe
3633067	3633067	Europe
5524033	5524033	Europe
3765943	3765943	Europe
2249486	2249486	Europe
1354344	1354344	Europe
2366435	2366435	Europe
4173239	4173239	Europe
2510687	2510687	Europe
4870062	4870062	Europe
5060564	5060564	Europe
2311728	2311728	Europe
4161291	4161291	Europe
3360957	3360957	Europe
1684311	1684311	Europe
4640134	4640134	Europe
4470278	4470278	Europe
5634248	5634248	Europe
4909332	4909332	Europe
5359830	5359830	Europe
1953230	1953230	Europe
3583249	3583249	Europe
4954130	4954130	Europe
5285319	5285319	Europe
2943268	2943268	Europe
2610871	2610871	Europe
4186177	4186177	Europe
2484865	2484865	Europe
2698682	2698682	Europe
1039855	1039855	Europe
4179004	4179004	Europe
1752414	1752414	Europe
4629675	4629675	Europe
1599978	1599978	Europe
3977977	3977977	Europe
1565802	1565802	Europe
4022702	4022702	Europe
3793860	3793860	Europe
5306228	5306228	Europe
5419347	5419347	Europe
2519929	2519929	Europe
2588915	2588915	Europe
1024922	1024922	Europe
5996752	5996752	Europe
1333696	1333696	Europe
2514560	2514560	Europe
3194588	3194588	Europe
2345047	2345047	Europe
1720116	1720116	Europe
4277621	4277621	Europe
2955420	2955420	Europe
2547427	2547427	Europe
3360860	3360860	Europe
3174457	3174457	Europe
1485581	1485581	Europe
5162028	5162028	Europe
3926064	3926064	Europe
2434850	2434850	Europe
3771867	3771867	Europe
5835460	5835460	Europe
2216604	2216604	Europe
1539499	1539499	Europe
5437237	5437237	Europe
2646947	2646947	Europe
5701703	5701703	Europe
5262778	5262778	Europe
1552360	1552360	Europe
4940475	4940475	Europe
5648909	5648909	Europe
5662662	5662662	Europe
1348888	1348888	Europe
3311586	3311586	Europe
5937432	5937432	Europe
5926617	5926617	Europe
4830111	4830111	Europe
5274987	5274987	Europe
2393298	2393298	Europe
1712102	1712102	Europe
5244415	5244415	Europe
4267242	4267242	Europe
5741331	5741331	Europe
5450258	5450258	Europe
4301527	4301527	Europe
4421763	4421763	Europe
3096833	3096833	Europe
2293098	2293098	Europe
1546204	1546204	Europe
1664632	1664632	Europe
1387975	1387975	Europe
3526297	3526297	Europe
3656883	3656883	Europe
5133506	5133506	Europe
2976983	2976983	Europe
5905812	5905812	Europe
3915386	3915386	Europe
1556975	1556975	Europe
5936028	5936028	Europe
4064377	4064377	Europe
5157739	5157739	Europe
1689951	1689951	Europe
1163330	1163330	Europe
3755076	3755076	Europe
5650451	5650451	Europe
2029619	2029619	Europe
5456239	5456239	Europe
5797262	5797262	Europe
2201048	2201048	Europe
4039003	4039003	Europe
4343697	4343697	Europe
4459145	4459145	Europe
1017762	1017762	Europe
1105265	1105265	Europe
2503451	2503451	Europe
1043757	1043757	Europe
1873664	1873664	Europe
5880518	5880518	Europe
3248435	3248435	Europe
2102673	2102673	Europe
5342676	5342676	Europe
1821183	1821183	Europe
3876636	3876636	Europe
5709971	5709971	Europe
4112361	4112361	Europe
2335063	2335063	Europe
4220085	4220085	Europe
4732040	4732040	Europe
4955707	4955707	Europe
4615482	4615482	Europe
3190561	3190561	Europe
4345212	4345212	Europe
3881197	3881197	Europe
1638993	1638993	Europe
2598860	2598860	Europe
5804308	5804308	Europe
2658013	2658013	Europe
5927233	5927233	Europe
4621678	4621678	Europe
2435538	2435538	Europe
2219549	2219549	Europe
3445093	3445093	Europe
4122557	4122557	Europe
2132032	2132032	Europe
2385210	2385210	Europe
2222275	2222275	Europe
4592735	4592735	Europe
2827685	2827685	Europe
3940205	3940205	Europe
1551568	1551568	Europe
3098454	3098454	Europe
1312456	1312456	Europe
1308345	1308345	Europe
5252588	5252588	Europe
4608875	4608875	Europe
5757775	5757775	Europe
1347660	1347660	Europe
3116487	3116487	Europe
3361470	3361470	Europe
4075684	4075684	Europe
4209382	4209382	Europe
4018970	4018970	Europe
4195304	4195304	Europe
2620343	2620343	Europe
3075987	3075987	Europe
4130262	4130262	Europe
5103503	5103503	Europe
5406694	5406694	Europe
5573539	5573539	Europe
3674497	3674497	Europe
1452036	1452036	Europe
2249293	2249293	Europe
3870027	3870027	Europe
5253474	5253474	Europe
3978536	3978536	Europe
2871422	2871422	Europe
5442560	5442560	Europe
2344715	2344715	Europe
5862404	5862404	Europe
5760492	5760492	Europe
5116774	5116774	Europe
3085501	3085501	Europe
3649750	3649750	Europe
2216948	2216948	Europe
4539896	4539896	Europe
5077843	5077843	Europe
4781350	4781350	Europe
4066783	4066783	Europe
5886158	5886158	Europe
5095131	5095131	Europe
5517279	5517279	Europe
4180361	4180361	Europe
1287322	1287322	Europe
3341314	3341314	Europe
4296420	4296420	Europe
2751641	2751641	Europe
3970550	3970550	Europe
5182375	5182375	Europe
3994124	3994124	Europe
3799331	3799331	Europe
2114919	2114919	Europe
5622848	5622848	Europe
4952289	4952289	Europe
4586488	4586488	Europe
3687780	3687780	Europe
4083998	4083998	Europe
2797061	2797061	Europe
1585482	1585482	Europe
5430847	5430847	Europe
5188575	5188575	Europe
4974273	4974273	Europe
2506898	2506898	Europe
1768514	1768514	Europe
2647084	2647084	Europe
3060156	3060156	Europe
3287575	3287575	Europe
3590284	3590284	Europe
4070638	4070638	Europe
1577335	1577335	Europe
5872664	5872664	Europe
2869667	2869667	Europe
5940793	5940793	Europe
4358448	4358448	Europe
5434447	5434447	Europe
2414701	2414701	Europe
2311078	2311078	Europe
1221391	1221391	Europe
3388343	3388343	Europe
1153213	1153213	Europe
1824003	1824003	Europe
3051643	3051643	Europe
2850133	2850133	Europe
2672873	2672873	Europe
3463456	3463456	Europe
1737600	1737600	Europe
3501530	3501530	Europe
2621902	2621902	Europe
1477697	1477697	Europe
1813636	1813636	Europe
4894416	4894416	Europe
5187116	5187116	Europe
3696606	3696606	
2296408	2296408	Europe
3494686	3494686	Europe
3220608	3220608	Europe
5900880	5900880	Europe
1211571	1211571	Europe
3505730	3505730	Europe
5539551	5539551	Europe
3784554	3784554	Europe
4620687	4620687	Europe
3008350	3008350	Europe
4723648	4723648	Europe
3705711	3705711	Europe
5248584	5248584	Europe
3675233	3675233	Europe
1682152	1682152	Europe
1343819	1343819	Europe
4277489	4277489	Europe
2871990	2871990	Europe
1761401	1761401	Europe
5986260	5986260	Europe
1272724	1272724	Europe
1440704	1440704	Europe
4278129	4278129	Europe
4644902	4644902	Europe
1214762	1214762	Europe
2260290	2260290	Europe
2192902	2192902	Europe
3388584	3388584	Europe
3319622	3319622	Europe
2822496	2822496	Europe
1071097	1071097	Europe
1657542	1657542	Europe
1702523	1702523	Europe
1729316	1729316	Europe
4079549	4079549	Europe
5570797	5570797	Europe
3088193	3088193	Europe
4985221	4985221	Europe
5338805	5338805	Europe
3707816	3707816	Europe
4131560	4131560	Europe
1686266	1686266	Europe
1666280	1666280	Europe
1678066	1678066	Europe
5417838	5417838	Europe
3960942	3960942	Europe
1066791	1066791	Europe
1523390	1523390	Europe
3952496	3952496	Europe
4990427	4990427	Europe
2986262	2986262	Europe
5978811	5978811	Europe
1446787	1446787	Europe
4100466	4100466	Europe
2258779	2258779	Europe
4489667	4489667	Europe
5533386	5533386	Europe
5647897	5647897	Europe
2549920	2549920	Europe
3476892	3476892	Europe
5777410	5777410	Europe
5233217	5233217	Europe
1493699	1493699	Europe
5098133	5098133	Europe
4338577	4338577	Europe
3493102	3493102	Europe
2647716	2647716	Europe
5514758	5514758	Europe
2054222	2054222	Europe
3548702	3548702	Europe
5159018	5159018	Europe
3538699	3538699	Europe
3367977	3367977	Europe
4238502	4238502	Europe
2507429	2507429	Europe
5111380	5111380	Europe
1523938	1523938	Europe
4506313	4506313	Europe
3128017	3128017	Europe
4900558	4900558	Europe
2989457	2989457	Europe
3569985	3569985	Europe
4345798	4345798	Europe
4477807	4477807	Europe
2807775	2807775	Europe
5142314	5142314	Europe
4841800	4841800	Europe
3209195	3209195	Europe
2964689	2964689	Europe
1343700	1343700	Europe
5838773	5838773	Europe
2112435	2112435	Europe
5026045	5026045	Europe
2086806	2086806	Europe
4267118	4267118	Europe
5572821	5572821	Europe
1746791	1746791	Europe
4818128	4818128	Europe
3358049	3358049	Europe
5258210	5258210	Europe
4898947	4898947	Europe
2526263	2526263	Europe
4210074	4210074	Europe
4656941	4656941	Europe
5061209	5061209	Europe
1613199	1613199	Europe
4639807	4639807	Europe
1023001	1023001	Europe
5391687	5391687	Europe
2151263	2151263	Europe
4496823	4496823	Europe
4334024	4334024	Europe
1437588	1437588	Europe
1356065	1356065	Europe
1063963	1063963	Europe
2805119	2805119	Europe
1925014	1925014	Europe
5968452	5968452	Europe
4672511	4672511	Europe
5402768	5402768	Europe
1435978	1435978	Europe
3729904	3729904	Europe
3029642	3029642	Europe
3256288	3256288	Europe
3980836	3980836	Europe
4476279	4476279	Europe
2025497	2025497	Europe
1970836	1970836	Europe
3969627	3969627	Europe
5990653	5990653	Europe
2333345	2333345	Europe
5542320	5542320	Europe
4941270	4941270	Europe
4116296	4116296	Europe
5102430	5102430	Europe
3361551	3361551	Europe
2565804	2565804	Europe
1756810	1756810	Europe
2266612	2266612	Europe
4237631	4237631	Europe
5627326	5627326	Europe
2089822	2089822	Europe
1756373	1756373	Europe
1322984	1322984	Europe
4678730	4678730	Europe
2252354	2252354	Europe
1404959	1404959	Europe
3359912	3359912	Europe
3854039	3854039	Europe
4087219	4087219	Europe
2134165	2134165	Europe
4962609	4962609	Europe
2580223	2580223	Europe
3074536	3074536	Europe
3254205	3254205	Europe
3726480	3726480	Europe
2809102	2809102	Europe
5492648	5492648	Europe
3299079	3299079	Europe
3425960	3425960	Europe
5511480	5511480	Europe
4570328	4570328	Europe
5787257	5787257	Europe
4103340	4103340	Europe
5677376	5677376	Europe
3473159	3473159	Europe
4427341	4427341	Europe
1013014	1013014	Europe
3805627	3805627	Europe
5076625	5076625	Europe
3489825	3489825	Europe
4596754	4596754	Europe
4265932	4265932	Europe
4711454	4711454	Europe
1252050	1252050	Europe
4975865	4975865	Europe
3514900	3514900	Europe
4120079	4120079	Europe
1065817	1065817	Europe
3333148	3333148	Europe
5565902	5565902	Europe
3783663	3783663	Europe
1069445	1069445	Europe
1331403	1331403	Europe
4437973	4437973	Europe
5296335	5296335	Europe
2792574	2792574	Europe
3803691	3803691	Europe
1629171	1629171	Europe
4772967	4772967	Europe
5885849	5885849	Europe
5878567	5878567	Europe
2439512	2439512	Europe
5799546	5799546	Europe
1285541	1285541	Europe
2851502	2851502	Europe
3478295	3478295	Europe
3415624	3415624	Europe
5378111	5378111	Europe
1386601	1386601	Europe
3852288	3852288	Europe
3462234	3462234	Europe
1359210	1359210	Europe
2011917	2011917	Europe
1043969	1043969	Europe
2657589	2657589	Europe
2610563	2610563	Europe
1849402	1849402	Europe
1306894	1306894	Europe
3622917	3622917	Europe
5824808	5824808	Europe
3435630	3435630	Europe
3970168	3970168	Europe
3472782	3472782	Europe
2389888	2389888	Europe
1012675	1012675	Europe
5663000	5663000	Europe
1686640	1686640	Europe
2058920	2058920	Europe
2350405	2350405	Europe
4491217	4491217	Europe
4443831	4443831	Europe
5766662	5766662	Europe
2114556	2114556	Europe
2922922	2922922	Europe
1307810	1307810	Europe
3476247	3476247	Europe
3990347	3990347	Europe
3931728	3931728	Europe
3597434	3597434	Europe
3224473	3224473	Europe
4083044	4083044	Europe
1391360	1391360	Europe
5725127	5725127	Europe
1363350	1363350	Europe
5803563	5803563	Europe
3926324	3926324	Europe
1900695	1900695	Europe
2967092	2967092	Europe
3560783	3560783	Europe
5862738	5862738	Europe
2457631	2457631	Europe
3841600	3841600	Europe
4774563	4774563	Europe
1809418	1809418	Europe
5990319	5990319	Europe
4624798	4624798	Europe
3795589	3795589	Europe
5421336	5421336	Europe
4383369	4383369	Europe
2826977	2826977	Europe
1712115	1712115	Europe
2395582	2395582	Europe
5556557	5556557	Europe
2163024	2163024	Europe
3338652	3338652	Europe
1743271	1743271	Europe
4923007	4923007	Europe
1508569	1508569	Europe
4485169	4485169	Europe
1729351	1729351	Europe
1125433	1125433	Europe
2435463	2435463	Europe
6009108	6009108	Europe
5553574	5553574	Europe
5862194	5862194	Europe
5582831	5582831	Europe
4435487	4435487	Europe
2473256	2473256	Europe
4730838	4730838	Europe
4759387	4759387	Europe
1641662	1641662	Europe
4147162	4147162	Europe
5255304	5255304	Europe
5740362	5740362	Europe
2425997	2425997	Europe
1218909	1218909	Europe
3281190	3281190	Europe
1124168	1124168	Europe
4791508	4791508	Europe
3619111	3619111	Europe
5543419	5543419	Europe
5089071	5089071	Europe
1809754	1809754	Europe
2361781	2361781	Europe
2819312	2819312	Europe
1232083	1232083	Europe
2795006	2795006	Europe
2181175	2181175	Europe
1066541	1066541	Europe
1685135	1685135	Europe
5583582	5583582	Europe
5609858	5609858	Europe
1364694	1364694	Europe
4272293	4272293	Europe
4364363	4364363	Europe
5035754	5035754	Europe
3928309	3928309	Europe
4378177	4378177	Europe
3307293	3307293	Europe
1576429	1576429	Europe
1162284	1162284	Europe
5703661	5703661	Europe
1307565	1307565	Europe
3298984	3298984	Europe
1575540	1575540	Europe
2617230	2617230	Europe
3792715	3792715	Europe
1355005	1355005	Europe
2617526	2617526	Europe
4656468	4656468	Europe
1709637	1709637	Europe
4405492	4405492	Europe
4586473	4586473	Europe
1050664	1050664	Europe
4041843	4041843	Europe
3078917	3078917	Europe
2145651	2145651	Europe
1974266	1974266	Europe
5787020	5787020	Europe
3397704	3397704	Europe
2786181	2786181	Europe
4575725	4575725	Europe
