H	varH	Signal	PC	B2	R2	Ratio	lc	uc	se	estimate	dataset	gwas	contrasts
2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	1	0.000506791852352258	0.000506791852352258	0.00293977104055743					HGDP1KG	WBS_500	eurasia-lat
2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	2	0.00136675162808637	0.0018735436347281	0.0108679515959662					HGDP1KG	WBS_500	eurasia-lat
2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	3	0.00235988528709503	0.00423342921076919	0.0245570494835397					HGDP1KG	WBS_500	eurasia-lat
2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	4	0.00060655593824193	0.00483998471791366	0.0280755241908926					HGDP1KG	WBS_500	eurasia-lat
2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	5	0.000677700356039049	0.00551768489740709	0.03200669110411					HGDP1KG	WBS_500	eurasia-lat
2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	6	0.0014558751237147	0.00697356003798771	0.0404518536636128					HGDP1KG	WBS_500	eurasia-lat
2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	7	2.24244557181854e-05	0.0069959845560932	0.0405819326075008					HGDP1KG	WBS_500	eurasia-lat
2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	8	0.000174765183750614	0.00717075002830727	0.0415957028007657					HGDP1KG	WBS_500	eurasia-lat
2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	9	6.77805491417861e-05	0.00723853080746369	0.0419888819151213					HGDP1KG	WBS_500	eurasia-lat
2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	10	9.07424937890432e-06	0.00724760501148252	0.0420415190719083					HGDP1KG	WBS_500	eurasia-lat
2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	11	0.000343584813561829	0.00759119001052045	0.0440345685367991					HGDP1KG	WBS_500	eurasia-lat
2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	12	5.80549351878265e-06	0.00759699547885998	0.0440682445866847					HGDP1KG	WBS_500	eurasia-lat
2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	13	0.000207326846725752	0.00780432198639146	0.0452708930901127					HGDP1KG	WBS_500	eurasia-lat
