PC	H	varH	pvalNorm	signal	omega	R2	Ratio	dataset	gwas	contrasts
1	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	2.05322157741151	0.672313208824804	0.86505982803119	InUKBB	WBS-R	England-NorthernIreland
2	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	-0.0297830565208502	0.672454670449861	0.865241845530531	InUKBB	WBS-R	England-NorthernIreland
3	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	0.422400244120734	0.700908998339538	0.901853793158354	InUKBB	WBS-R	England-NorthernIreland
4	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	0.0199881609353681	0.700972714009061	0.90193577558172	InUKBB	WBS-R	England-NorthernIreland
5	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	0.0206416029312881	0.70104066362073	0.902023205783318	InUKBB	WBS-R	England-NorthernIreland
6	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	0.00956521185047029	0.701055254731039	0.9020419800439	InUKBB	WBS-R	England-NorthernIreland
7	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	-0.0161776881046745	0.701096992774093	0.902095684037623	InUKBB	WBS-R	England-NorthernIreland
8	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	0.0120011939551183	0.701119962151663	0.902125238545179	InUKBB	WBS-R	England-NorthernIreland
9	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	0.0238750249193922	0.701210867122176	0.902242205216557	InUKBB	WBS-R	England-NorthernIreland
10	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	0.00791065999950754	0.701220847010118	0.902255046255575	InUKBB	WBS-R	England-NorthernIreland
11	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	-0.00957138327587097	0.701235456965835	0.902273844764385	InUKBB	WBS-R	England-NorthernIreland
12	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	0.0273688298546572	0.701354914324535	0.902427549556762	InUKBB	WBS-R	England-NorthernIreland
