H	varH	Signal	PC	B2	R2	Ratio	lc	uc	se	estimate	dataset	gwas	contrasts
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	1	0.0246076278535047	0.0246076278535047	0.0329500377582174					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	2	0.00500469934565152	0.0296123271034227	0.0396514162996616					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	3	0.0631613252910824	0.0927736384432281	0.12422550064029					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	4	0.00393520394163298	0.0967088443527684	0.129494809168428					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	5	0.00943206225451037	0.106140898454639	0.142124492153085					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	6	0.0356730137316599	0.14181390713686	0.189891265530268					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	7	0.0169138504468111	0.158727772097494	0.21253922218859					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	8	0.00913919834764481	0.167866968029533	0.224776763037028					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	9	0.00794273535794054	0.175809707238049	0.235412227714173					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	10	1.12442043202222e-05	0.175820951490484	0.235427283961955					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	11	0.000419781487080687	0.176240733885515	0.235989379822996					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	12	0.000565710319858081	0.176806445499746	0.23674687742334					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	13	0.00106046992323132	0.177866918500153	0.238166869045978					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	14	0.00464960070566088	0.182516520229535	0.244392765888042					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	15	0.00967818054277581	0.19219469629281	0.257352010420431					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	16	0.00969224560153378	0.201886935940611	0.270330086334856					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	17	5.44683814454057e-05	0.201941404523604	0.270403020706139					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	18	0.00750958591261461	0.209450997540029	0.280458495167681					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	19	0.00272076290953016	0.212171761176155	0.284101644563278					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	20	0.000918723572518959	0.213090488063555	0.285331835697894					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	21	0.0123259936259947	0.225416474186832	0.301836543530242					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	22	0.000701886738190515	0.226118360438577	0.302776381316909					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	23	0.00798651054945703	0.234104869636173	0.313470454763719					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	24	0.00174112811328868	0.235846000323494	0.315801858758884					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	25	0.00126056238282867	0.237106557436385	0.317489766456181					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	26	0.000765166102162127	0.237871726383404	0.318514340862369					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	27	0.00209446670548489	0.239966200878917	0.321318878305865					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	28	0.000706845670099698	0.240673046926553	0.322265357344702					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	29	0.000405818135963157	0.241078865565874	0.322808755496212					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	30	0.0011988145937227	0.242277676079328	0.324413983432785					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	31	0.000611656572480097	0.242889334042893	0.325233003986679					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	32	0.0115119996341297	0.25440135291342	0.340647795640526					InUKBB	WBS-R_500	England-NorthernIreland
7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	33	0.000559399044017551	0.254960755768378	0.341396845703484					InUKBB	WBS-R_500	England-NorthernIreland
