#FID	IID	SEX
1504753	1504753	2
2949004	2949004	2
5085700	5085700	1
4120990	4120990	2
1336359	1336359	2
4085718	4085718	2
5065974	5065974	1
2521715	2521715	1
3412052	3412052	2
3760376	3760376	2
5101037	5101037	1
3655267	3655267	1
4047227	4047227	1
3934369	3934369	2
4547105	4547105	2
1956957	1956957	1
4333155	4333155	1
3416676	3416676	1
5102007	5102007	2
2187040	2187040	2
5866441	5866441	2
4596388	4596388	1
3916579	3916579	2
1053015	1053015	2
1148895	1148895	2
5724118	5724118	1
1639527	1639527	2
2845241	2845241	2
2429893	2429893	2
5595356	5595356	1
5222461	5222461	2
1884596	1884596	1
2582869	2582869	2
2758486	2758486	2
3453583	3453583	1
5466279	5466279	2
2777304	2777304	2
1742069	1742069	1
3273419	3273419	1
4883425	4883425	1
4627635	4627635	2
4723937	4723937	2
5626120	5626120	2
4881692	4881692	1
1272451	1272451	2
4029953	4029953	1
1687726	1687726	1
1540028	1540028	1
3536192	3536192	2
5518281	5518281	2
3431834	3431834	1
1623943	1623943	2
5794742	5794742	1
2211648	2211648	1
4543272	4543272	2
3010818	3010818	2
3999746	3999746	1
4276418	4276418	2
2876024	2876024	1
1122601	1122601	1
4147449	4147449	2
3428614	3428614	2
5156775	5156775	1
2311669	2311669	1
3731780	3731780	2
1213153	1213153	2
2990949	2990949	1
4946834	4946834	1
3017662	3017662	2
3931366	3931366	1
2107551	2107551	2
3764276	3764276	1
5611872	5611872	2
2836869	2836869	2
4259305	4259305	2
5691284	5691284	1
1221345	1221345	2
3039042	3039042	2
5852874	5852874	2
4289574	4289574	1
4845812	4845812	2
3815303	3815303	1
4117825	4117825	2
3180284	3180284	1
4614619	4614619	1
4317690	4317690	2
5322125	5322125	1
5775541	5775541	1
3719264	3719264	1
1118324	1118324	1
3783275	3783275	1
3058267	3058267	1
3154866	3154866	2
5225400	5225400	2
3505536	3505536	2
1419478	1419478	2
5823331	5823331	2
2490822	2490822	1
3730120	3730120	2
1939011	1939011	1
3796174	3796174	2
6013811	6013811	2
2360184	2360184	2
1485043	1485043	1
2146507	2146507	2
3299830	3299830	1
5387622	5387622	1
5879767	5879767	1
1787838	1787838	1
2900039	2900039	1
4712045	4712045	1
4192642	4192642	1
5288511	5288511	1
1419833	1419833	1
3818935	3818935	1
5040625	5040625	1
5486933	5486933	1
3102215	3102215	1
2502877	2502877	1
1796967	1796967	1
1341585	1341585	1
4649361	4649361	1
5525183	5525183	1
2360951	2360951	1
2067727	2067727	1
3197463	3197463	2
2575601	2575601	2
1389989	1389989	2
1409671	1409671	2
1550617	1550617	1
4626795	4626795	1
5076385	5076385	1
3008644	3008644	2
4612996	4612996	1
2524897	2524897	2
4263918	4263918	1
5442018	5442018	1
2850035	2850035	1
1389671	1389671	2
2883037	2883037	2
3260159	3260159	2
3604203	3604203	1
4779470	4779470	1
3166467	3166467	1
4124321	4124321	1
5294132	5294132	2
5640398	5640398	2
1864857	1864857	2
1838431	1838431	2
3772558	3772558	2
1608081	1608081	2
5913370	5913370	1
2179616	2179616	2
5541411	5541411	2
2352064	2352064	2
4154786	4154786	2
4177837	4177837	2
5776966	5776966	1
1162773	1162773	2
5927107	5927107	2
3177614	3177614	1
2357756	2357756	2
2601989	2601989	2
5420015	5420015	2
2537888	2537888	1
2555193	2555193	1
4168472	4168472	2
3179456	3179456	1
5779829	5779829	2
3526941	3526941	2
3374188	3374188	1
2951161	2951161	1
2562868	2562868	1
1361619	1361619	1
1820326	1820326	1
2639869	2639869	2
4116273	4116273	1
5448804	5448804	2
3159314	3159314	2
3003208	3003208	1
4315218	4315218	2
1811797	1811797	2
2515911	2515911	2
2665834	2665834	1
2392184	2392184	1
2115913	2115913	2
4851196	4851196	2
5930397	5930397	2
4760144	4760144	1
5224094	5224094	2
2291820	2291820	1
3479710	3479710	2
1526933	1526933	1
1121737	1121737	2
2505309	2505309	1
5022941	5022941	2
5277929	5277929	1
1020852	1020852	2
5665806	5665806	2
2840209	2840209	1
1235308	1235308	1
5091952	5091952	1
2576905	2576905	1
5286942	5286942	2
3080957	3080957	1
4863297	4863297	2
2411053	2411053	2
1652635	1652635	2
1913873	1913873	2
4508231	4508231	2
2441084	2441084	1
5805878	5805878	2
1574584	1574584	1
3653247	3653247	2
5900333	5900333	1
1415748	1415748	2
5276294	5276294	1
4577788	4577788	1
1154974	1154974	2
2875713	2875713	2
2067008	2067008	2
5235907	5235907	1
1421418	1421418	1
1738474	1738474	2
4940888	4940888	2
2541159	2541159	1
3804240	3804240	2
3348954	3348954	2
1894439	1894439	1
1105999	1105999	1
1997013	1997013	2
2245161	2245161	2
1691339	1691339	1
1904278	1904278	2
5325938	5325938	1
2075526	2075526	1
3429081	3429081	2
3542591	3542591	1
1567196	1567196	1
2113852	2113852	1
4725629	4725629	2
5116763	5116763	1
3896421	3896421	2
3532388	3532388	1
5871683	5871683	1
3454198	3454198	1
5870118	5870118	1
3990927	3990927	2
3572182	3572182	2
3326443	3326443	1
5358308	5358308	2
1586504	1586504	1
5717644	5717644	2
4464470	4464470	2
2286635	2286635	2
1727984	1727984	2
5800094	5800094	1
2561252	2561252	2
3580426	3580426	2
1353527	1353527	1
1604915	1604915	1
4077244	4077244	2
3678665	3678665	2
5384367	5384367	2
6006981	6006981	1
4369713	4369713	2
4688602	4688602	2
5986585	5986585	2
5831828	5831828	2
4370020	4370020	2
4972132	4972132	1
4759480	4759480	1
3046093	3046093	2
1616078	1616078	1
5802937	5802937	2
3269678	3269678	1
3746760	3746760	2
4535394	4535394	2
1738292	1738292	2
1947831	1947831	2
2888371	2888371	2
3600040	3600040	1
1883313	1883313	2
2422313	2422313	1
2460864	2460864	2
4221593	4221593	1
1084134	1084134	1
5997288	5997288	2
2549192	2549192	2
2659227	2659227	2
1104065	1104065	1
5380244	5380244	2
1288807	1288807	2
3980305	3980305	1
2450088	2450088	1
3755224	3755224	2
4236791	4236791	2
5419939	5419939	1
1878826	1878826	2
1370295	1370295	2
2232011	2232011	1
3869485	3869485	2
1191907	1191907	2
5879143	5879143	1
4124735	4124735	1
1819137	1819137	1
6012389	6012389	2
3082739	3082739	2
5533465	5533465	2
5502074	5502074	1
5562543	5562543	1
3859353	3859353	2
4233400	4233400	1
4899589	4899589	2
5824928	5824928	1
2094840	2094840	2
5255622	5255622	1
5223260	5223260	1
4372799	4372799	2
3436911	3436911	2
4083800	4083800	2
5636235	5636235	2
1259984	1259984	1
1457831	1457831	1
5141718	5141718	1
1932138	1932138	2
4887604	4887604	2
5509015	5509015	2
4285726	4285726	1
3048423	3048423	2
3204313	3204313	1
6002458	6002458	1
3527956	3527956	1
5668425	5668425	1
2241140	2241140	1
5205646	5205646	1
4474383	4474383	1
1579474	1579474	1
1842483	1842483	1
2455099	2455099	1
3260396	3260396	1
4329262	4329262	1
5378399	5378399	1
2373199	2373199	1
1423384	1423384	1
3528430	3528430	1
4206041	4206041	1
