sigmaf	sigmaF2	L	dataset	gwas	contrasts
0.00847133492152172	7.17635153525934e-05	109506	HGDP1KG	e50	eas-amr
0.0152683249253725	0.000233121746026751	109506	HGDP1KG	e50	nfe-sas
0.0153544275810792	0.000235758446342605	109506	HGDP1KG	e50	nfe-afr
0.0114705825427106	0.000131574263869137	109506	HGDP1KG	e50	nfe-amr
0.0120334340137309	0.000144803534162815	109506	HGDP1KG	e50	sas-afr
0.00807276289871618	6.51695008188885e-05	109506	HGDP1KG	e50	sas-amr
0.012596026483258	0.000158659883166937	109506	HGDP1KG	e50	afr-amr
0.0625623797882369	0.0039140513647676	113925	HGDP1KG	e200	eurasia-lat
0.0574436810823719	0.00329977649629325	113925	HGDP1KG	e200	eurasia-long
0.0168673602183429	0.000284507840735338	137497	HGDP1KG	e200	eur-lat
0.0258922052252863	0.000670406291428341	137497	HGDP1KG	e200	eur-long
0.00711706685130248	5.06526405659085e-05	140761	HGDP1KG	e200	sdi-eur
0.0616231470243088	0.00379741224917958	110766	HGDP1KG	e200	eas-nfe
0.0429337936046667	0.00184331063328812	110766	HGDP1KG	e200	eas-sas
0.0699704646430918	0.00489586592237016	110766	HGDP1KG	e200	eas-afr
0.0455782404731303	0.00207737600462649	110766	HGDP1KG	e200	eas-amr
0.061951897161355	0.00383803756189111	110766	HGDP1KG	e200	nfe-sas
0.0992454288242243	0.00984965514250417	110766	HGDP1KG	e200	nfe-afr
0.0493233584449017	0.00243279368828425	110766	HGDP1KG	e200	nfe-amr
0.0875507431957379	0.00766513263412605	110766	HGDP1KG	e200	sas-afr
0.0208963347249947	0.000436656804939021	110766	HGDP1KG	e200	sas-amr
0.0864823996240708	0.00747920544473748	110766	HGDP1KG	e200	afr-amr
