H	L	varH	pvalNorm	sigma2r	sigma2F	N	dataset	gwas	contrasts
7.57215808769294e-06	145247	1.6630014737531e-13	0.0459487111262242	0.000368005138147323	0.0205762292499883	9927	InUKBB	e50	RepublicOfIrelend-Wales
8.58171165937653e-06	145247	1.51599327422371e-13	6.55762166840007e-06	0.000255921046632901	0.0335326530282847	22716	InUKBB	e50	Scotland-Wales
8.08148848030263e-06	145217	1.57641038175439e-13	0.00130460452996686	1.37306633360183e-05	0.588572327682322	143335	InUKBB	e200	England-NorthernIreland
6.30028479256092e-06	145217	1.80530159490434e-13	0.91606720521867	3.02445524720144e-05	0.208311390898928	144017	InUKBB	e200	England-RepublicOfIrelend
7.05735061243414e-06	145217	1.80338858336351e-13	0.343504228860963	6.01393673558904e-05	0.11734993104717	156806	InUKBB	e200	England-Scotland
9.22141123297628e-06	145217	1.51755597493129e-13	1.02123226291521e-09	3.33610515035865e-05	0.276412487537598	150340	InUKBB	e200	England-Wales
1.20408400918612e-05	145217	1.41048883578439e-13	3.60071905455846e-43	0.0005055212225148	0.0238186638969617	2922	InUKBB	e200	NorthernIreland-RepublicOfIrelend
1.15853337418658e-05	145217	1.3388565135148e-13	4.74372245995231e-38	7.57781172039272e-05	0.152884951082756	15711	InUKBB	e200	NorthernIreland-Scotland
9.21165229000151e-06	145217	1.43262898559639e-13	4.03034964733509e-10	0.00022532039696012	0.0408824607726565	9245	InUKBB	e200	NorthernIreland-Wales
1.29339608875505e-05	145217	1.55804725692985e-13	2.74719127740135e-53	0.000144620591075189	0.0894337437801377	16393	InUKBB	e200	RepublicOfIrelend-Scotland
8.01286741032891e-06	145217	1.62313419362128e-13	0.00258369510831758	0.000368014765256719	0.0217732226171396	9927	InUKBB	e200	RepublicOfIrelend-Wales
8.93822351942964e-06	145217	1.48445084327073e-13	5.02385185869918e-08	0.000255938506053814	0.0349233245799687	22716	InUKBB	e200	Scotland-Wales
