varR	sdR	dataset	gwas	contrasts
0.00330360328191279	0.0574769804522888	HGDP1KG	WBS	sdi-eur
0.851190300584589	0.922599751021313	HGDP1KG	WBS	eurasia-lat
26.9545464745265	5.19177681285767	HGDP1KG	WBS	eurasia-long
0.0480541985475451	0.219212678801991	HGDP1KG	WBS	eur-lat
0.165907367224309	0.407317280782817	HGDP1KG	WBS	eur-long
0.023074764493332	0.151903800128015	HGDP1KG	WBS	eas-nfe
0.0133849292479096	0.115693254980183	HGDP1KG	WBS	eas-sas
0.0390026294349618	0.197490833799855	HGDP1KG	WBS	eas-afr
0.0140060050326891	0.118346968836084	HGDP1KG	WBS	eas-amr
0.00666623288003649	0.0816470016598068	HGDP1KG	WBS	nfe-sas
0.0340997051918666	0.184661054886694	HGDP1KG	WBS	nfe-afr
0.00748801135090083	0.0865332961980579	HGDP1KG	WBS	nfe-amr
0.0293949880326883	0.17144966617841	HGDP1KG	WBS	sas-afr
0.00711360704643555	0.08434220204877	HGDP1KG	WBS	sas-amr
0.0301374175876	0.173601317931633	HGDP1KG	WBS	afr-amr
0.00327943404722968	0.05726634305794	HGDP1KG	ALL	sdi-eur
0.851366751039583	0.922695372828748	HGDP1KG	ALL	eurasia-lat
26.9800044993044	5.19422799839441	HGDP1KG	ALL	eurasia-long
0.0489379546863595	0.221219245741322	HGDP1KG	ALL	eur-lat
0.174034934677003	0.417174944929586	HGDP1KG	ALL	eur-long
0.0230819466037442	0.151927438613781	HGDP1KG	ALL	eas-nfe
0.0133794739879042	0.115669676181375	HGDP1KG	ALL	eas-sas
0.0388913415801217	0.197208878045897	HGDP1KG	ALL	eas-afr
0.0139895685310753	0.118277506445965	HGDP1KG	ALL	eas-amr
0.0066357517435802	0.0814601236408355	HGDP1KG	ALL	nfe-sas
0.0340415198032262	0.184503441169064	HGDP1KG	ALL	nfe-afr
0.00745612801838669	0.0863488738686654	HGDP1KG	ALL	nfe-amr
0.0293119962087886	0.171207465400282	HGDP1KG	ALL	sas-afr
0.00707289663401744	0.0841005150639248	HGDP1KG	ALL	sas-amr
0.0300472560874753	0.173341443652334	HGDP1KG	ALL	afr-amr
0.00330270258529241	0.0574691446368606	HGDP1KG	e5	sdi-eur
0.851187017110711	0.922597971551374	HGDP1KG	e5	eurasia-lat
26.9509495256593	5.19143039302843	HGDP1KG	e5	eurasia-long
0.0480264653607087	0.219149413325039	HGDP1KG	e5	eur-lat
0.165816969005972	0.407206297846647	HGDP1KG	e5	eur-long
0.023066788735343	0.151877545197909	HGDP1KG	e5	eas-nfe
0.0133786511840009	0.115666119430026	HGDP1KG	e5	eas-sas
0.0389955258902604	0.197472848488749	HGDP1KG	e5	eas-afr
0.0140018834509741	0.118329554427345	HGDP1KG	e5	eas-amr
0.0066653292412419	0.0816414676573241	HGDP1KG	e5	nfe-sas
0.0340992506213149	0.184659824058497	HGDP1KG	e5	nfe-afr
0.00748474991301292	0.0865144491574264	HGDP1KG	e5	nfe-amr
0.0293930320590608	0.171443961862355	HGDP1KG	e5	sas-afr
0.00711165348162323	0.0843306200713788	HGDP1KG	e5	sas-amr
0.0301350487199038	0.173594495073732	HGDP1KG	e5	afr-amr
0.00330167336134509	0.057460189360505	HGDP1KG	e10	sdi-eur
0.851093043132925	0.922547041149082	HGDP1KG	e10	eurasia-lat
26.9465575965882	5.19100737782063	HGDP1KG	e10	eurasia-long
0.0480511267646675	0.21920567229127	HGDP1KG	e10	eur-lat
0.16606975247556	0.407516567117902	HGDP1KG	e10	eur-long
0.0230610080599335	0.151858513294229	HGDP1KG	e10	eas-nfe
0.0133758803593593	0.115654141124991	HGDP1KG	e10	eas-sas
0.0389871449522681	0.197451626866603	HGDP1KG	e10	eas-afr
0.0139979647896253	0.11831299501587	HGDP1KG	e10	eas-amr
0.00666283786802016	0.0816262082178277	HGDP1KG	e10	nfe-sas
0.0340950601218718	0.184648477171819	HGDP1KG	e10	nfe-afr
0.00748347322022142	0.0865070703481596	HGDP1KG	e10	nfe-amr
0.029386587310525	0.171425165336146	HGDP1KG	e10	sas-afr
0.00710923476405758	0.0843162781677274	HGDP1KG	e10	sas-amr
0.0301311327878978	0.173583215743625	HGDP1KG	e10	afr-amr
0.00329758246735127	0.0574245806893814	HGDP1KG	e50	sdi-eur
0.851065050685629	0.92253186973981	HGDP1KG	e50	eurasia-lat
26.9384145822254	5.19022298001014	HGDP1KG	e50	eurasia-long
0.0482239142622557	0.219599440487119	HGDP1KG	e50	eur-lat
0.167164377290352	0.40885740459279	HGDP1KG	e50	eur-long
0.0230575390776602	0.151847091107009	HGDP1KG	e50	eas-nfe
0.0133727281296788	0.115640512493152	HGDP1KG	e50	eas-sas
0.0389719184905741	0.197413065653148	HGDP1KG	e50	eas-afr
0.0139967762202263	0.118307971921702	HGDP1KG	e50	eas-amr
0.00665848318780511	0.0815995293356837	HGDP1KG	e50	nfe-sas
0.0340817599987201	0.18461245894771	HGDP1KG	e50	nfe-afr
0.00747909293953856	0.0864817491702068	HGDP1KG	e50	nfe-amr
0.029370588154284	0.171378493849969	HGDP1KG	e50	sas-afr
0.00710560852732049	0.0842947716487831	HGDP1KG	e50	sas-amr
0.030115202995236	0.17353732450178	HGDP1KG	e50	afr-amr
0.00328119736561902	0.0572817367545627	HGDP1KG	e200	sdi-eur
0.851557101290699	0.922798516086095	HGDP1KG	e200	eurasia-lat
26.9854661496892	5.19475371405509	HGDP1KG	e200	eurasia-long
0.0489401232700605	0.221224147122462	HGDP1KG	e200	eur-lat
